"intersection1","intersection2","Address","Year","Month","Direction","Coordinates","Intersection ID","Filename"
"Alexander Alley "," Purdy Alley","222 Alexander Alley, Columbus, OH 43206, USA","2019","11","NW","39.948518,-82.991359","228","Alexander Alley & Purdy Alley~222 Alexander Alley, Columbus, OH 43206, USA~2019-11~NW~39.948518,-82.991359~id-228.jpg"
"Alexander Alley "," Purdy Alley","222 Alexander Alley, Columbus, OH 43206, USA","2019","11","SW","39.948518,-82.991359","228","Alexander Alley & Purdy Alley~222 Alexander Alley, Columbus, OH 43206, USA~2019-11~SW~39.948518,-82.991359~id-228.jpg"
"Alexander Alley "," Purdy Alley","240 Purdy Alley, Columbus, OH 43206, USA","2019","11","N","39.948518,-82.991359","228","Alexander Alley & Purdy Alley~240 Purdy Alley, Columbus, OH 43206, USA~2019-11~N~39.948518,-82.991359~id-228.jpg"
"Alexander Alley "," Purdy Alley","241 Alexander Alley, Columbus, OH 43206, USA","2019","11","SE","39.948518,-82.991359","228","Alexander Alley & Purdy Alley~241 Alexander Alley, Columbus, OH 43206, USA~2019-11~SE~39.948518,-82.991359~id-228.jpg"
"Alexander Alley "," South Grant Avenue","311 Alexander Alley, Columbus, OH 43206, USA","2019","11","SE","39.948429,-82.989337","227","Alexander Alley & South Grant Avenue~311 Alexander Alley, Columbus, OH 43206, USA~2019-11~SE~39.948429,-82.989337~id-227.jpg"
"Alexander Alley "," South Grant Avenue","711 S Grant Ave, Columbus, OH 43206, USA","2019","11","E","39.948429,-82.989337","227 (1)","Alexander Alley & South Grant Avenue~711 S Grant Ave, Columbus, OH 43206, USA~2019-11~E~39.948429,-82.989337~id-227 (1).jpg"
"Alexander Alley "," South Grant Avenue","711 S Grant Ave, Columbus, OH 43206, USA","2019","11","E","39.948429,-82.989337","227","Alexander Alley & South Grant Avenue~711 S Grant Ave, Columbus, OH 43206, USA~2019-11~E~39.948429,-82.989337~id-227.jpg"
"Alexander Alley "," South Grant Avenue","711 S Grant Ave, Columbus, OH 43206, USA","2019","11","NE","39.948429,-82.989337","227","Alexander Alley & South Grant Avenue~711 S Grant Ave, Columbus, OH 43206, USA~2019-11~NE~39.948429,-82.989337~id-227.jpg"
"Berger Alley "," Briggs Street","369 Berger Alley, Columbus, OH 43206, USA","2019","11","SW","39.950991,-82.988111","74","Berger Alley & Briggs Street~369 Berger Alley, Columbus, OH 43206, USA~2019-11~SW~39.950991,-82.988111~id-74.jpg"
"Berger Alley "," Briggs Street","595 Briggs St, Columbus, OH 43206, USA","2019","11","NW","39.950991,-82.988111","74","Berger Alley & Briggs Street~595 Briggs St, Columbus, OH 43206, USA~2019-11~NW~39.950991,-82.988111~id-74.jpg"
"Berger Alley "," Cedar Alley","250 Berger Alley, Columbus, OH 43206, USA","2019","11","N","39.951122,-82.991479","83","Berger Alley & Cedar Alley~250 Berger Alley, Columbus, OH 43206, USA~2019-11~N~39.951122,-82.991479~id-83.jpg"
"Berger Alley "," Cedar Alley","252 Berger Alley, Columbus, OH 43206, USA","2019","11","N","39.951128,-82.991595","83","Berger Alley & Cedar Alley~252 Berger Alley, Columbus, OH 43206, USA~2019-11~N~39.951128,-82.991595~id-83.jpg"
"Berger Alley "," Cedar Alley","577 Cedar Alley, Columbus, OH 43206, USA","2019","11","S","39.951128,-82.991595","83","Berger Alley & Cedar Alley~577 Cedar Alley, Columbus, OH 43206, USA~2019-11~S~39.951128,-82.991595~id-83.jpg"
"Berger Alley "," Cedar Alley","580 Cedar Alley, Columbus, OH 43206, USA","2019","11","SE","39.951128,-82.991595","83","Berger Alley & Cedar Alley~580 Cedar Alley, Columbus, OH 43206, USA~2019-11~SE~39.951128,-82.991595~id-83.jpg"
"Berger Alley "," Dixon Alley","224 Berger Alley, Columbus, OH 43206, USA","2019","11","NW","39.951169,-82.992174","77","Berger Alley & Dixon Alley~224 Berger Alley, Columbus, OH 43206, USA~2019-11~NW~39.951169,-82.992174~id-77.jpg"
"Berger Alley "," Dixon Alley","232 Berger Alley, Columbus, OH 43206, USA","2019","11","NE","39.951169,-82.992174","77","Berger Alley & Dixon Alley~232 Berger Alley, Columbus, OH 43206, USA~2019-11~NE~39.951169,-82.992174~id-77.jpg"
"Berger Alley "," Dixon Alley","568-570 S 5th St, Columbus, OH 43206, USA","2019","11","SW","39.951169,-82.992174","77","Berger Alley & Dixon Alley~568-570 S 5th St, Columbus, OH 43206, USA~2019-11~SW~39.951169,-82.992174~id-77.jpg"
"Berger Alley "," Dixon Alley","Frank Fetch Park, 228 E Beck St, Columbus, OH 43206, USA","2019","11","SE","39.951169,-82.992174","77","Berger Alley & Dixon Alley~Frank Fetch Park, 228 E Beck St, Columbus, OH 43206, USA~2019-11~SE~39.951169,-82.992174~id-77.jpg"
"Berger Alley "," Fieser Street","173 Berger Alley, Columbus, OH 43206, USA","2015","11","SW","39.951208,-82.993213","79","Berger Alley & Fieser Street~173 Berger Alley, Columbus, OH 43206, USA~2015-11~SW~39.951208,-82.993213~id-79.jpg"
"Berger Alley "," Fieser Street","193 Fieser St, Columbus, OH 43206, USA","2015","11","E","39.951208,-82.993213","79","Berger Alley & Fieser Street~193 Fieser St, Columbus, OH 43206, USA~2015-11~E~39.951208,-82.993213~id-79.jpg"
"Berger Alley "," Fieser Street","196 Berger Alley, Columbus, OH 43206, USA","2015","11","NE","39.951208,-82.993213","79","Berger Alley & Fieser Street~196 Berger Alley, Columbus, OH 43206, USA~2015-11~NE~39.951208,-82.993213~id-79.jpg"
"Berger Alley "," Fieser Street","6 Fieser St, Columbus, OH 43206, USA","2015","11","N","39.951208,-82.993213","79","Berger Alley & Fieser Street~6 Fieser St, Columbus, OH 43206, USA~2015-11~N~39.951208,-82.993213~id-79.jpg"
"Berger Alley "," Macon Alley","199 Berger Alley, Columbus, OH 43206, USA","2019","11","SE","39.951213,-82.992891","78","Berger Alley & Macon Alley~199 Berger Alley, Columbus, OH 43206, USA~2019-11~SE~39.951213,-82.992891~id-78.jpg"
"Berger Alley "," Macon Alley","199 Berger Alley, Columbus, OH 43206, USA","2019","11","SW","39.951213,-82.992891","78","Berger Alley & Macon Alley~199 Berger Alley, Columbus, OH 43206, USA~2019-11~SW~39.951213,-82.992891~id-78.jpg"
"Berger Alley "," Macon Alley","205 Jackson St, Columbus, OH 43206, USA","2019","11","NW","39.951213,-82.992891","78","Berger Alley & Macon Alley~205 Jackson St, Columbus, OH 43206, USA~2019-11~NW~39.951213,-82.992891~id-78.jpg"
"Berger Alley "," Macon Alley","561 S 5th St, Columbus, OH 43206, USA","2019","11","NE","39.951213,-82.992891","78","Berger Alley & Macon Alley~561 S 5th St, Columbus, OH 43206, USA~2019-11~NE~39.951213,-82.992891~id-78.jpg"
"Berger Alley "," Mohawk Street","163 Berger Alley, Columbus, OH 43206, USA","2015","08","SW","39.951233,-82.993547","75","Berger Alley & Mohawk Street~163 Berger Alley, Columbus, OH 43206, USA~2015-08~SW~39.951233,-82.993547~id-75.jpg"
"Berger Alley "," Mohawk Street","173 Berger Alley, Columbus, OH 43206, USA","2015","08","SE","39.951233,-82.993547","75","Berger Alley & Mohawk Street~173 Berger Alley, Columbus, OH 43206, USA~2015-08~SE~39.951233,-82.993547~id-75.jpg"
"Berger Alley "," Mohawk Street","553 Mohawk St, Columbus, OH 43206, USA","2015","08","NW","39.951233,-82.993547","75","Berger Alley & Mohawk Street~553 Mohawk St, Columbus, OH 43206, USA~2015-08~NW~39.951233,-82.993547~id-75.jpg"
"Berger Alley "," Mohawk Street","556 Mohawk St, Columbus, OH 43206, USA","2015","08","NE","39.951233,-82.993547","75","Berger Alley & Mohawk Street~556 Mohawk St, Columbus, OH 43206, USA~2015-08~NE~39.951233,-82.993547~id-75.jpg"
"Berger Alley "," Oscar Alley","161-163 Berger Alley, Columbus, OH 43206, USA","2019","09","SW","39.951241,-82.993885","81","Berger Alley & Oscar Alley~161-163 Berger Alley, Columbus, OH 43206, USA~2019-09~SW~39.951241,-82.993885~id-81.jpg"
"Berger Alley "," Oscar Alley","162 Berger Alley, Columbus, OH 43206, USA","2019","09","NW","39.951241,-82.993885","81","Berger Alley & Oscar Alley~162 Berger Alley, Columbus, OH 43206, USA~2019-09~NW~39.951241,-82.993885~id-81.jpg"
